Experiment,Scenario,Mode,TotalCost_USD,CostGap_vs_All_pct,CostGap_vs_Best_pct,SubproblemSolveTime_sec,SolveTimeDelta_vs_NoOverlap_sec,SolveTimeGap_vs_Fastest_pct,JuliaAllocated_MB,MemoryGap_vs_Lowest_pct,AvgOverlap_h,MaxOverlap_h,MinOverlap_h,LoadShedding_MWh,WindCurtailment_MWh,LimitingFactorCounts,CalibrationTime_excluded_sec,ReferenceTime_excluded_sec
ieee118_extreme_ramp,extreme_ramp,UnitOnly,1.4613636306223227e7,0.1117,0.38300602156972263,16.887999773025513,1.932,12.917890290183434,12539.054759025574,31.636211861531866,3.5714285714285716,7,0,40.67608361613534,5.307437286282105,none=1; unit_dwell=6,159.7641363,22.521620700000003
ieee118_extreme_ramp,extreme_ramp,RampOnly,1.4613970990104625e7,0.114,0.3853050095408014,16.317000150680542,1.361,9.100027098672117,12395.43951511383,30.128525115008642,3.4285714285714284,6,0,40.64644854754092,3.9792838198831553,none=1; ramp=6,159.7641363,22.521620700000003
ieee118_extreme_ramp,extreme_ramp,Steady+Unit,1.460610794137845e7,0.0602,0.33129268494973513,21.795999765396118,6.84,45.734151074834024,14016.983477592468,47.15165075643567,5.142857142857143,8,0,40.5634660355487,2.30110913953797,steady=5; unit_dwell=2,159.7641363,22.521620700000003
ieee118_extreme_ramp,extreme_ramp,Steady+Ramp,1.4557878753982654e7,-0.2702,0.0,21.66200017929077,6.706,44.83819236059117,13333.980408668518,39.98141835767897,4.428571428571429,7,0,40.563466035548714,2.5966735800334497,ramp=1; steady=4; steady+ramp=2,159.7641363,22.521620700000003
ieee118_extreme_ramp,extreme_ramp,Unit+Ramp,1.5208243189286157e7,4.1851,4.467439565160419,19.712000370025635,4.756,31.79994819385573,13060.587223052979,37.11131020400958,4.142857142857143,7,0,40.53016760905236,7.898912026679846,ramp=3; unit_dwell=3; unit_dwell+ramp=1,159.7641363,22.521620700000003
ieee118_extreme_ramp,extreme_ramp,Steady+Unit+Ramp,1.4597325142635396e7,0.0,0.27096247550454705,23.717000007629395,8.761,58.57849602481339,13870.341353416443,45.612187527601314,5.0,7,0,40.5634660355487,2.30110913953797,ramp=1; steady=4; steady+ramp=1; unit_dwell=1,159.7641363,22.521620700000003
ieee118_normal,ieee118_reconstructed_load,NoOverlap,1.4035802804681724e7,0.3045,0.304543776150394,21.283999919891357,0.0,17.64966063867371,9525.513699531555,0.0,0.0,0,0,6.455805895020628,1.5046266954093928,none=7,236.7951648,46.419164900000006
ieee118_normal,ieee118_reconstructed_load,SteadyOnly,1.399618137543793e7,0.0214,0.021395783879361918,33.24500012397766,11.961,83.76541050741565,13453.170901298523,41.23302244539443,4.571428571428571,7,0,6.455805895020626,0.5698734958479595,steady=7,236.7951648,46.419164900000006
ieee118_normal,ieee118_reconstructed_load,UnitOnly,1.403453759675205e7,0.2955,0.29550217689640323,26.22100043296814,4.937,44.93947632757577,13337.886695861816,40.022754851717295,4.428571428571429,7,0,6.45580589502061,1.6398712435723355,none=1; unit_dwell=6,236.7951648,46.419164900000006
ieee118_normal,ieee118_reconstructed_load,RampOnly,1.4116742095504593e7,0.883,0.8829630338536334,18.699000358581543,-2.585,3.3607900183071364,11728.828570365906,23.13066717800957,2.7142857142857144,4,0,6.455805895020617,0.0,none=1; ramp=6,236.7951648,46.419164900000006
ieee118_normal,ieee118_reconstructed_load,Steady+Unit,1.3993187423299007e7,0.0,0.0,18.51300024986267,-2.771,2.332653871347246,14271.87542629242,49.827882006975436,5.428571428571429,7,0,6.547490796895422,0.4109960636597888,steady=4; steady+unit_dwell=1; unit_dwell=2,236.7951648,46.419164900000006
ieee118_normal,ieee118_reconstructed_load,Steady+Ramp,1.399618137543793e7,0.0214,0.021395783879361918,19.90499973297119,-1.379,10.027084777817697,13453.150027275085,41.23280330736056,4.571428571428571,7,0,6.455805895020626,0.5698734958479595,steady=7,236.7951648,46.419164900000006
ieee118_normal,ieee118_reconstructed_load,Unit+Ramp,1.4008181954306988e7,0.1072,0.10715593634524367,19.49500012397766,-1.789,7.760766649569744,13597.065561294556,42.74364606670222,4.714285714285714,7,0,6.455805895020642,1.8398712435723386,ramp=1; unit_dwell=6,236.7951648,46.419164900000006
ieee118_normal,ieee118_reconstructed_load,Steady+Unit+Ramp,1.3993187423299007e7,0.0,0.0,18.090999841690063,-3.193,0.0,14271.87509059906,49.827878482825774,5.428571428571429,7,0,6.547490796895422,0.4109960636597888,steady=4; steady+unit_dwell=1; unit_dwell=2,236.7951648,46.419164900000006
pcm_overlap_ieee118_20260808_190826,ieee118_reconstructed_load,NoOverlap,1.4035802804681724e7,0.3045,0.304543776150394,12.371000051498413,0.0,0.0,9525.477611541748,0.0,0.0,0,0,6.455805895020628,1.5046266954093928,none=7,204.9677542,27.465362
pcm_overlap_ieee118_20260808_190826,ieee118_reconstructed_load,SteadyOnly,1.399618137543793e7,0.0214,0.021395783879361918,19.586000204086304,7.215,58.32188281103424,13453.098909378052,41.23280173455363,4.571428571428571,7,0,6.455805895020626,0.5698734958479595,steady=7,204.9677542,27.465362
pcm_overlap_ieee118_20260808_190826,ieee118_reconstructed_load,UnitOnly,1.403453759675205e7,0.2955,0.29550217689640323,16.28000020980835,3.909,31.59809346081497,13337.782614707947,40.02219267773973,4.428571428571429,7,0,6.45580589502061,1.6398712435723355,none=1; unit_dwell=6,204.9677542,27.465362
pcm_overlap_ieee118_20260808_190826,ieee118_reconstructed_load,RampOnly,1.4116742095504593e7,0.883,0.8829630338536334,17.78499960899353,5.414,43.76363701364109,11728.751161575317,23.130321017855586,2.7142857142857144,4,0,6.455805895020617,0.0,none=1; ramp=6,204.9677542,27.465362
pcm_overlap_ieee118_20260808_190826,ieee118_reconstructed_load,Steady+Unit,1.3993187423299007e7,0.0,0.0,17.954999923706055,5.584,45.13782110550788,14271.79803276062,49.827637151421065,5.428571428571429,7,0,6.547490796895422,0.4109960636597888,steady=4; steady+unit_dwell=1; unit_dwell=2,204.9677542,27.465362
pcm_overlap_ieee118_20260808_190826,ieee118_reconstructed_load,Steady+Ramp,1.399618137543793e7,0.0214,0.021395783879361918,20.860999822616577,8.49,68.62824133680147,13453.116792678833,41.23298947632901,4.571428571428571,7,0,6.455805895020626,0.5698734958479595,steady=7,204.9677542,27.465362
pcm_overlap_ieee118_20260808_190826,ieee118_reconstructed_load,Unit+Ramp,1.4008181954306988e7,0.1072,0.10715593634524367,19.836999654769897,7.466,60.35081700906775,13596.948052406311,42.742953234505315,4.714285714285714,7,0,6.455805895020642,1.8398712435723386,ramp=1; unit_dwell=6,204.9677542,27.465362
pcm_overlap_ieee118_20260808_190826,ieee118_reconstructed_load,Steady+Unit+Ramp,1.3993187423299007e7,0.0,0.0,18.31500005722046,5.944,48.04785369798855,14271.817502975464,49.82784155287617,5.428571428571429,7,0,6.547490796895422,0.4109960636597888,steady=4; steady+unit_dwell=1; unit_dwell=2,204.9677542,27.465362
